# Destination	Info
1226 3105 0	Tal Teklan
1712 6114 0	Tutorial Island
2529 3287 0	West Ardougne
2605 3209 0	Ardougne Monastery
2607 3209 0	Ardougne Monastery
2617 3308 0	East Ardougne
2695 3462 0	Seers' Village
2996 3177 0	Port Sarim
3122 3106 0	Tutorial Island
3243 3208 0	Lumbridge
3209 3494 1	Varrock Palace
3376 3284 0	Emir's Arena
3415 3488 0	Paterdomus Temple
3913 4966 1	Varrock Palace
3051 3497 1	Edgeville Monastery
2340 9629 0	Well of Voyage
3231 9311 0	Jaldraocht Pyramid
2283 3428 0	Gorlah
2355 3171 1	Lletya
2803 6115 1	Lletya
2931 6179 1	Lletya
3246 6115 0	Prifddinas
3263 6090 2	Tower of Voices
3307 6180 0	Gorlah
3253 3485 0	Varrock
3957 4957 0	Varrock
2749 3497 1	Camelot
2890 3510 1	Heroes' Guild
3281 2773 0	Sophanem
1690 3793 2	Arceuus church
1310 3618 0	Xeric's Shrine
1283 3677 0	Molch
2457 2840 2	Myths' Guild
3176 3625 0	East of Ferox Enclave
1774 5467 0	Clan Hall
1497 3563 0	Shayzien
3741 4320 0	Goblin Temple
3744 4317 0	Goblin Temple
1616 3673 2	Kourend Castle
2727 3283 0	Witchaven
1743 3499 0	South of Hosidius
1733 3573 0	Hosidius
1546 3808 0	Lovakengj
2156 3864 0	Lunar Isle
3420 3180 0	Giants' Plateau
2938 5202 0	Ancient Prison
3127 3636 0	Ferox Enclave
3129 3637 0	Ferox Enclave
3129 3635 0	Ferox Enclave
