# Origin	Destination	menuOption menuTarget objectID	Items	Quests	Skills	Duration	Display info
# Aldarin
1455 2968 0	2760 3238 0	Charter Trader Crewmember 1330	COINS=2500			6	Brimhaven
1455 2968 0	2792 3414 0	Charter Trader Crewmember 1330	COINS=2500			6	Catherby
1455 2968 0	1743 3136 0	Charter Trader Crewmember 1330	COINS=600	Children of the Sun		6	Civitas illa Fortis
1455 2968 0	2589 2851 0	Charter Trader Crewmember 1330	COINS=2100			6	Corsair Cove
1455 2968 0	1943 2757 0	Charter Trader Crewmember 1330	COINS=1200		67 Sailing	6	Deepfin Point
1455 2968 0	3001 3032 0	Charter Trader Crewmember 1330	COINS=3100	The Grand Tree		6	Shipyard
1455 2968 0	1496 3403 0	Charter Trader Crewmember 1330	COINS=900			6	Land's End
1455 2968 0	3671 2931 0	Charter Trader Crewmember 1330	COINS=2350	Cabin Fever		6	Mos Le'Harmless
1455 2968 0	2954 3158 0	Charter Trader Crewmember 1330	COINS=3000			6	Musa Point
1455 2968 0	2674 3144 0	Charter Trader Crewmember 1330	COINS=2300			6	Port Khazard
1455 2968 0	3702 3503 0	Charter Trader Crewmember 1330	COINS=4500	Priest in Peril		6	Port Phasmatys
1455 2968 0	1808 3679 0	Charter Trader Crewmember 1330	COINS=1100			6	Port Piscarilius
1455 2968 0	1889 3292 0	Charter Trader Crewmember 1330	COINS=1400		50 Sailing	6	Port Roberts
1455 2968 0	3038 3192 0	Charter Trader Crewmember 1330	COINS=3100			6	Port Sarim
1455 2968 0	2142 3122 0	Charter Trader Crewmember 1330	COINS=3200	Regicide		6	Port Tyras
1455 2968 0	2157 3330 0	Charter Trader Crewmember 1330	COINS=1800	Song of the Elves		6	Prifddinas
1455 2968 0	3058 2975 0	Charter Trader Crewmember 1330	COINS=3000	Pandemonium		6	The Pandemonium
1455 2968 0	3155 2415 0	Charter Trader Crewmember 1330	COINS=2400	Troubled Tortugans		6	The Summer Shore

# Brimhaven
2760 3238 0	1455 2968 0	Charter Trader Crewmember 1330	COINS=2500	Children of the Sun		6	Aldarin
2760 3238 0	2792 3414 0	Charter Trader Crewmember 1330	COINS=480			6	Catherby
2760 3238 0	1743 3136 0	Charter Trader Crewmember 1330	COINS=2400	Children of the Sun		6	Civitas illa Fortis
2760 3238 0	2589 2851 0	Charter Trader Crewmember 1330	COINS=680			6	Corsair Cove
2760 3238 0	1943 2757 0	Charter Trader Crewmember 1330	COINS=2000		67 Sailing	6	Deepfin Point
2760 3238 0	3001 3032 0	Charter Trader Crewmember 1330	COINS=400	The Grand Tree		6	Shipyard
2760 3238 0	1496 3403 0	Charter Trader Crewmember 1330	COINS=2200			6	Land's End
2760 3238 0	3671 2931 0	Charter Trader Crewmember 1330	COINS=1950	Cabin Fever		6	Mos Le'Harmless
2760 3238 0	2954 3158 0	Charter Trader Crewmember 1330	COINS=480			6	Musa Point
2760 3238 0	2674 3144 0	Charter Trader Crewmember 1330	COINS=400			6	Port Khazard
2760 3238 0	3702 3503 0	Charter Trader Crewmember 1330	COINS=2900	Priest in Peril		6	Port Phasmatys
2760 3238 0	1808 3679 0	Charter Trader Crewmember 1330	COINS=2000			6	Port Piscarilius
2760 3238 0	1889 3292 0	Charter Trader Crewmember 1330	COINS=3200		50 Sailing	6	Port Roberts
2760 3238 0	3038 3192 0	Charter Trader Crewmember 1330	COINS=1600			6	Port Sarim
2760 3238 0	2142 3122 0	Charter Trader Crewmember 1330	COINS=3200	Regicide		6	Port Tyras
2760 3238 0	2157 3330 0	Charter Trader Crewmember 1330	COINS=3450	Song of the Elves		6	Prifddinas
2760 3238 0	1514 2971 0	Charter Trader Crewmember 1330	COINS=2500	Children of the Sun		6	Sunset Coast
2760 3238 0	3058 2975 0	Charter Trader Crewmember 1330	COINS=400	Pandemonium		6	The Pandemonium
