# Origin	Destination	menuOption menuTarget objectID	Duration	Display info
# House on the Hill				
3764 3879 1		Use Magic Mushtree 30920		
3765 3879 1		Use Magic Mushtree 30920		
3766 3880 1		Use Magic Mushtree 30920		
3766 3881 1		Use Magic Mushtree 30920		
3763 3880 1		Use Magic Mushtree 30920		
3763 3881 1		Use Magic Mushtree 30920		
3764 3882 1		Use Magic Mushtree 30920		
3765 3882 1		Use Magic Mushtree 30920		
				
# Verdant Valley				
3757 3756 0		Use Magic Mushtree 30924		
3757 3757 0		Use Magic Mushtree 30924		
3758 3758 0		Use Magic Mushtree 30924		
3759 3758 0		Use Magic Mushtree 30924		
3760 3757 0		Use Magic Mushtree 30924		
3758 3755 0		Use Magic Mushtree 30924		
3759 3755 0		Use Magic Mushtree 30924		
				
# Sticky Swamp				
3676 3755 0		Use Magic Mushtree 30924		
3676 3756 0		Use Magic Mushtree 30924		
3677 3757 0		Use Magic Mushtree 30924		
3678 3757 0		Use Magic Mushtree 30924		
3679 3755 0		Use Magic Mushtree 30924		
3679 3756 0		Use Magic Mushtree 30924		
3677 3754 0		Use Magic Mushtree 30924		
3678 3754 0		Use Magic Mushtree 30924		
				
# Mushroom Meadow				
3676 3871 0		Use Magic Mushtree 30924		
3676 3872 0		Use Magic Mushtree 30924		
				
	3764 3879 1		6	1. House on the Hill
	3760 3758 0		6	2. Verdant Valley
	3676 3755 0		6	3. Sticky Swamp
	3676 3871 0		6	4. Mushroom Meadow
